"Main","Day","TotalVol"
" WELLINGTON ST W ","Thursday",23656
" ADELAIDE ST W ","Wednesday",23255
" PARKWOODS VILLAGE DR ","Tuesday",23215
" ELLESMERE RD ","Thursday",23184
" MCNICOLL AVE ","Wednesday",23146
" MARTIN GROVE RD ","Saturday",23101
" WYNFORD DR ","Monday",23083
" BRIMLEY RD ","Tuesday",23064
" THE WEST MALL ","Tuesday",22884
" MAIN ST ","Saturday",22748
" HARBORD ST ","Tuesday",22734
" CHURCH ST ","Saturday",22720
" QUEENS PARK ","Thursday",22654
" YONGE ST ","Friday",22586
" ALNESS ST ","Tuesday",22426
" VICTORIA ST ","Thursday",22356
" ADELAIDE ST E ","Thursday",22160
" YORK BLVD ","Tuesday",22023
" CALEDONIA RD ","Tuesday",21949
" REXDALE BLVD ","Saturday",21826
" QUEEN ST W ","Saturday",21094
" LANSDOWNE AVE ","Saturday",21008
" BLACK CREEK DR ","Thursday",20790
" THE POND RD ","Wednesday",20784
" BURNHAMTHORPE RD ","Saturday",20765
" PAPE AVE ","Saturday",20667
" QUEENS QUAY W ","Thursday",20595
" NEILSON RD ","Wednesday",20592
" CASTLEFIELD AVE ","Monday",20314
" KING ST ","Saturday",20293
" REXDALE BLVD ","Wednesday",20262
" AVENUE RD ","Saturday",19969
" ROGERS RD ","Monday",19955
" ROGERS RD ","Saturday",19834
" ROGERS RD ","Wednesday",19642
" MCNICOLL AVE ","Tuesday",19624
" EASTERN AVE ","Tuesday",19550
" DON MILLS RD W ","Wednesday",19459
" DONLANDS AVE ","Saturday",19156
" BROWNS LINE ","Thursday",19116
" OLD WESTON RD ","Thursday",18623
" PARLIAMENT ST ","Thursday",18542
" RENFORTH DR ","Wednesday",18498
" DUNDAS ST E ","Saturday",18364
" SPADINA RD ","Tuesday",18236
" DUFFERIN ST ","Thursday",18236
" QUEENS QUAY W ","Tuesday",18156
" ROGERS RD ","Tuesday",17979
" KIPLING AVE ","Saturday",17953
" YORKDALE RD ","Wednesday",17950
" CALEDONIA RD ","Wednesday",17908
" MORTIMER AVE ","Saturday",17880
" CHURCH ST ","Monday",17848
" SCARBOROUGH GOLF CLUB RD ","Wednesday",17753
" BROWNS LINE ","Tuesday",17657
" LOWER JARVIS ST ","Tuesday",17635
" QUEENS PARK CRES W ","Tuesday",17479
" BATHURST ST ","Sunday",17461
" GERRARD ST W ","Wednesday",17359
" SHERBOURNE ST ","Thursday",17294
" MARKHAM RD ","Monday",17006
" DAVENPORT RD ","Saturday",16989
" TAPSCOTT RD ","Wednesday",16860
" MIDLAND AVE ","Monday",16723
" EASTERN AVE ","Wednesday",16697
" TRETHEWEY DR ","Tuesday",16600
" NEILSON RD ","Tuesday",16583
" THE WEST MALL ","Saturday",16493
" RICHMOND ST E ","Monday",16387
" PORT UNION RD ","Thursday",16261
" ST CLAIR AVE W ","Tuesday",16199
" TRETHEWEY DR ","Monday",16082
" BROWNS LINE ","Saturday",15926
" FINCH AVE W ","Saturday",15923
" HARBOUR ST ","Tuesday",15905
" DOVERCOURT RD ","Saturday",15768
" SHUTER ST ","Tuesday",15621
" WOODBINE AVE ","Saturday",15374
" ORIOLE PKWY ","Monday",15271
" DOVERCOURT RD ","Thursday",15256
" MOUNT PLEASANT RD ","Wednesday",15238
" SPADINA CRES ","Thursday",15197
" THE WEST MALL ","Monday",15120
" CARLINGVIEW DR ","Thursday",15046
" YORK MILLS RD ","Tuesday",15004
" JARVIS ST ","Thursday",14859
" ALBION RD ","Monday",14758
" OAKWOOD AVE ","Tuesday",14757
" THE WEST MALL ","Thursday",14650
" RATHBURN RD ","Monday",14541
" DIXON RD ","Thursday",14289
" CARLTON ST ","Monday",14277
" PORT UNION RD ","Monday",14275
" RICHMOND ST W ","Wednesday",14248
" MARLEE AVE ","Monday",14229
" PARK LAWN RD ","Tuesday",14100
" PARKSIDE DR ","Monday",14076
" YORKDALE RD ","Monday",14052
" EVANS AVE ","Saturday",13968
" DUPONT ST ","Monday",13871
" ROGERS RD ","Thursday",13863
" LAWRENCE AVE W ","Saturday",13721
" QUEENS PARK CRES E ","Tuesday",13644
" DONLANDS AVE ","Tuesday",13549
" FRONT ST E ","Tuesday",13530
" SIMCOE ST ","Monday",13527
" MILLWICK DR ","Tuesday",13487
" WESTON RD ","Friday",13449
" PARKSIDE DR ","Saturday",13415
" COXWELL AVE ","Saturday",13332
" DORIS AVE ","Wednesday",13319
" OAKWOOD AVE ","Thursday",13287
" BIRCHMOUNT RD ","Thursday",13199
" WELLINGTON ST W ","Monday",13191
" DORIS AVE ","Monday",13185
" IAN MACDONALD BLVD ","Wednesday",13137
" EGLINTON AVE E ","Friday",13125
" DANFORTH RD ","Friday",13081
" DONLANDS AVE ","Thursday",13051
" STRACHAN AVE ","Thursday",12996
" OSSINGTON AVE ","Tuesday",12903
" SPADINA AVE ","Friday",12902
" THE WESTWAY ","Tuesday",12860
" WILLOWDALE AVE ","Wednesday",12531
" LANSDOWNE AVE ","Monday",12476
" SHERBOURNE ST ","Saturday",12471
" LESLIE ST ","Friday",12424
" FRONT ST E ","Wednesday",12337
" RATHBURN RD ","Wednesday",12329
" BELLAMY RD N ","Tuesday",12278
" YORKDALE RD ","Saturday",12265
" LAKE SHORE BLVD W ","Friday",12247
" FRONT ST E ","Thursday",12244
" PORT UNION RD ","Tuesday",12224
" KING ST W ","Monday",12136
" CLONMORE DR ","Wednesday",12124
" ADELAIDE ST E ","Wednesday",12095
