Tcs, Main , Midblock_Route , Side_1_Route , Side_2_Route ,Activation_Date,Latitude,Longitude,Count_Date,eight_Peak_Hr_Vehicle_Volume,eight_Peak_Hr_Pedestrian_Volume
1223, FINCH AVE W ,, PEARLDALE AVE , ARDWICK BLVD ,07/26/1977,43.74779,-79.56238,11-29-2010,20464,964
1224, FINCH AVE W ,, JOHN GARLAND BLVD , SILVERSTONE DR ,11/08/1978,43.73605,-79.59491,07-22-2010,13898,1047
1225, KING ST W ,, PORTLAND ST ,,09/25/1984,43.64447,-79.40008,05-17-2017,9793,14142
1226, WESTON RD ,, ORMONT DR ,,12/05/1978,43.7648578,-79.545346,04-16-2012,11106,372
1227, WESTON RD ,, STARVIEW LANE , PRIVATE ACCESS ,12/21/1978,43.72636,-79.53559,04-21-2011,19958,562
1228, FAIRVIEW MALL DR ,, GODSTONE RD , PRIVATE ACCESS ,08/18/1976,43.77965,-79.34573,03-31-2010,8962,1980
1229, STEELES AVE W ,, TORRESDALE AVE , THURMAN RD ,09/20/1978,43.79084,-79.45323,05-08-2012,22189,407
1230, STEELES AVE W ,, HIDDEN TRL , CONLEY ST ,12/21/1979,43.7887,-79.46326,05-13-2015,23916,600
1231, STEELES AVE W ,, ALNESS ST ,,07/23/1976,43.78472,-79.48104,11-15-2014,17170,159
1232, STEELES AVE W ,, SIGNET DR , WESTON RD ,03/05/1976,43.77097,-79.54343,05-13-2015,19719,736
1233, LESLIE ST , 30m NORTH OF , RAVEL RD ,,10/30/1975,43.79182,-79.36843,12-17-2013,10557,166
1234, DUFFERIN ST ,, OVERBROOK PL , STEEPROCK DR ,12/08/1973,43.76107,-79.46516,06-18-2012,27132,411
1235, SIGNET DR ,, FENMAR DR ,,05/24/1979,43.758478,-79.5389618,03-31-2016,9875,57
1236, WILSON AVE ,, GARRATT BLVD , NORTHGATE DR ,09/14/1978,43.73038,-79.4681,03-08-2016,16482,820
1237, WILSON AVE ,, TRANSIT RD , BILLY BISHOP WAY ,12/16/1976,43.7334,-79.45281,04-09-2016,22487,761
1238, BLOOR ST W ,, PALMERSTON AVE , PALMERSTON BLVD ,10/31/1984,43.66463,-79.41363,01-10-2018,8424,4560
1239, MARKHAM RD ,, MCLEVIN AVE , NUGGET AVE ,03/29/1978,43.79854,-79.24104,04-02-2014,25209,631
1240, PHARMACY AVE ,, HUNTINGDALE BLVD , CHESTER LE BLVD ,05/15/1979,43.79636,-79.32716,02-08-2018,13279,806
1241, PHARMACY AVE ,, MCNICOLL AVE ,,05/10/1979,43.80414,-79.33072,02-03-2018,17399,193
1242, MIDLAND AVE ,, PITFIELD RD ,,02/05/1980,43.78062,-79.27612,07-24-2013,13358,169
1243, MCCOWAN RD ,, HUNTINGWOOD DR , MIDDLEFIELD RD ,05/26/1976,43.798691,-79.262554,05-02-2015,22286,143
1244, MCCOWAN RD ,, NUGGET AVE , PRIVATE ACCESS ,03/29/1978,43.79205749,-79.25983295,02-13-2014,25052,496
1245, SHEPPARD AVE E ,, WILFRED AVE ,,11/12/1979,43.76511,-79.3947,03-19-2014,20617,329
1246, HIGHWAY 27 ,, QUEENS PLATE DR ,,10/09/1984,43.72277,-79.59813,10-07-2014,22584,713
1247, SHEPPARD AVE W ,, OAKDALE RD ,,08/11/1978,43.73698,-79.52376,10-11-2012,18468,366
1248, SHEPPARD AVE W ,, MIN AVE , YATESCASTLE DR ,05/18/1979,43.74035,-79.50688,03-10-2014,12300,338
1249, SHEPPARD AVE E ,, SETTLERS RD ,,05/29/1979,43.7747,-79.32669,06-04-2014,19805,1215
1250, DIXON RD ,, 427 N DIXON RAMP , PRIVATE ACCESS ,10/11/1977,43.68650333,-79.59961226,12-05-2016,16895,102
1251, VICTORIA PARK AVE ,, CLYDESDALE DR ,,09/26/1976,43.783885,-79.32706,10-10-2013,15182,284
1252, VICTORIA PARK AVE ,, GORDON BAKER RD ,,06/07/1979,43.81068,-79.33919,10-27-2010,15742,237
1253, FINCH AVE W ,, CHESSWOOD DR , PRIVATE ACCESS ,11/22/1977,43.7665,-79.47752,07-29-2013,18266,201
1254, KIPLING AVE ,, MOUNT OLIVE DR , PANORAMA CRT ,06/27/1978,43.74682,-79.58375,12-02-2014,11375,2165
1255, KEELE ST ,, WHITBURN CRES ,,04/05/1977,43.73695,-79.48453,03-08-2016,18559,370
1256, STEELES AVE W ,, KIPLING AVE ,,11/21/1979,43.75963,-79.5899,05-18-2015,22401,1133
1257, FINCH AVE E ,, MARKHAM RD ,,11/06/1973,43.81302,-79.24308,12-06-2016,33428,1015
1258, FINCH AVE E ,, TAPSCOTT RD ,,04/07/1980,43.81427,-79.23713,12-06-2016,16875,506
1259, YONGE ST ,, LORD SEATON W YONGE RAMP ,,10/05/1979,43.75263342,-79.4083829,05-27-2017,25567,54
1260, STEELES AVE E ,, MIDLAND AVE ,,01/11/1978,43.82601,-79.29731,05-23-2015,21533,1735
1261, STEELES AVE E ,, HWY 404 SB OFF RAMP ,,10/11/1978,43.81242961,-79.3553169,06-18-2012,36241,49
